VOLTS`V`float	deriv(v(out2))`V/V`float
1.24175	0
1.24175	-0.25
1.24175	0
1.24175	-0.25
1.24175	-0.25
1.24175	0
1.24176	-0.25
1.24176	0
1.24177	0
1.24177	-0.25
1.24177	0
1.24177	-0.25
1.24177	-0.25
1.24177	0
1.24177	-0.25
1.24177	0
1.24178	0
1.24178	-0.25
1.24178	0
1.24178	-0.25
1.24178	-0.25
1.24178	0
1.24178	-0.25
1.24178	0
1.24179	0
1.24179	-0.222222
1.24179	0
1.2418	-0.222222
1.2418	-0.222222
1.2418	0
1.2418	-0.222222
1.2418	0
1.24181	0
1.24181	-0.25
1.24181	0
1.24181	-0.25
1.24181	-0.25
1.24181	0
1.24181	-0.25
1.24181	0
1.24182	0
1.24182	-0.25
1.24182	0
1.24182	-0.25
1.24182	-0.25
1.24182	0
1.24182	-0.25
1.24182	0
1.24183	0
1.24183	-0.25
1.24183	0
1.24183	-0.25
1.24183	-0.25
1.24183	0
1.24183	-0.25
1.24184	0
1.24185	0
1.24185	-0.25
1.24185	0
1.24185	-0.25
1.24185	-0.25
1.24185	0
1.24185	-0.25
1.24185	0
1.24186	0
1.24186	-0.222222
1.24186	0
1.24186	-0.222222
1.24186	-0.222222
1.24186	0
1.24186	-0.222222
1.24186	0
1.24187	0
1.24187	-0.222222
1.24187	0
1.24187	-0.222222
1.24187	-0.222222
1.24187	0
1.24188	-0.222222
1.24188	0
1.24189	0
1.24189	-0.222222
1.24189	0
1.24189	-0.222222
1.24189	-0.222222
1.24189	0
1.24189	-0.222222
1.24189	0
1.2419	0
1.2419	-0.222222
1.2419	0
1.2419	-0.222222
1.2419	-0.222222
1.2419	0
1.2419	-0.222222
1.2419	0
1.24191	0
1.24191	-0.222222
1.24191	0
1.24191	-0.222222
1.24191	-0.222222
1.24191	0
1.24191	-0.222222
1.24191	0
1.24193	0
1.24193	-0.222222
1.24193	0
1.24193	-0.222222
1.24193	-0.222222
1.24193	0
1.24193	-0.222222
1.24193	0
1.24194	0
1.24194	-0.222222
1.24194	0
1.24194	-0.222222
1.24194	-0.222222
1.24194	0
1.24194	-0.222222
1.24194	0
1.24195	0
1.24195	-0.222222
1.24195	0
1.24195	-0.222222
1.24195	-0.222222
1.24195	0
1.24195	-0.222222
1.24195	0
1.24196	0
1.24196	-0.25
1.24197	0
1.24197	-0.25
1.24197	-0.25
1.24197	0
1.24197	-0.25
1.24197	0
1.24198	0
1.24198	-0.222222
1.24198	0
1.24198	-0.222222
1.24198	-0.222222
1.24198	0
1.24198	-0.222222
1.24198	0
1.24199	0
1.24199	-0.222222
1.24199	0
1.24199	-0.222222
1.24199	-0.222222
1.24199	0
1.24199	-0.222222
1.24199	0
1.242	0
1.242	-0.222222
1.242	0
1.242	-0.222222
1.242	-0.222222
1.242	0
1.242	-0.222222
1.242	0
1.24202	0
1.24202	-0.222222
1.24202	0
1.24202	-0.222222
1.24202	-0.222222
1.24202	0
1.24202	-0.222222
1.24202	0
1.24203	0
1.24203	-0.25
1.24203	0
1.24203	-0.25
1.24203	-0.25
1.24203	0
1.24203	-0.25
1.24203	0
1.24204	0
1.24204	-0.25
1.24204	0
1.24204	-0.25
1.24204	-0.25
1.24204	0
1.24204	-0.25
1.24204	0
1.24205	0
1.24205	-0.25
1.24205	0
1.24205	-0.25
1.24205	-0.25
1.24205	0
1.24205	-0.25
1.24205	0
1.24207	0
1.24207	-0.25
1.24207	0
1.24207	-0.25
1.24207	-0.25
1.24207	0
1.24207	-0.25
1.24207	0
1.24208	0
1.24208	-0.25
1.24208	0
1.24208	-0.25
1.24208	-0.25
1.24208	0
1.24208	-0.25
1.24208	0
1.24209	0
1.24209	-0.222222
1.24209	0
1.24209	-0.222222
1.24209	-0.222222
1.24209	0
1.24209	-0.222222
1.24209	0
1.2421	0
1.2421	-0.222222
1.2421	0
1.2421	-0.222222
1.2421	-0.222222
1.2421	0
1.2421	-0.222222
1.2421	0
1.24212	0
1.24212	-0.222222
1.24212	0
1.24212	-0.222222
1.24212	-0.222222
1.24212	0
1.24212	-0.222222
1.24212	0
1.24213	0
1.24213	-0.25
1.24213	0
1.24213	-0.25
1.24213	-0.25
1.24213	0
1.24213	-0.25
1.24213	0
1.24214	0
1.24214	-0.25
1.24214	0
1.24214	-0.25
1.24214	-0.25
1.24214	0
1.24214	-0.25
1.24214	0
1.24215	0
1.24215	-0.25
1.24215	0
1.24215	-0.25
1.24215	-0.25
1.24215	0
1.24215	-0.25
1.24215	0
1.24216	0
1.24216	-0.222222
1.24216	0
1.24217	-0.222222
1.24217	-0.222222
1.24217	0
1.24217	-0.222222
1.24217	0
1.24218	0
1.24218	-0.25
1.24218	0
1.24218	-0.25
1.24218	-0.25
1.24218	0
1.24218	-0.25
1.24218	0
1.24219	0
1.24219	-0.25
1.24219	0
1.24219	-0.25
1.24219	-0.25
1.24219	0
1.24219	-0.25
1.24219	0
1.2422	0
1.2422	-0.25
1.2422	0
1.2422	-0.25
1.2422	-0.25
1.2422	0
1.2422	-0.25
1.2422	0
1.24221	0
1.24221	-0.222222
1.24221	0
1.24221	-0.222222
1.24221	-0.222222
1.24221	0
1.24222	-0.222222
1.24222	0
1.24223	0
1.24223	-0.25
1.24223	0
1.24223	-0.25
1.24223	-0.25
1.24223	0
1.24223	-0.25
1.24223	0
1.24224	0
1.24224	-0.25
1.24224	0
1.24224	-0.25
1.24224	-0.25
1.24224	0
1.24224	-0.25
1.24224	0
1.24225	0
1.24225	-0.222222
1.24225	0
1.24225	-0.222222
1.24225	-0.222222
1.24225	0
1.24225	-0.222222
1.24225	0
1.24226	0
1.24226	-0.25
1.24226	0
1.24226	-0.25
1.24226	-0.25
1.24226	0
1.24226	-0.25
1.24226	0
1.24227	0
1.24227	-0.25
1.24227	0
1.24227	-0.25
1.24227	-0.25
1.24227	0
1.24227	-0.25
1.24228	0
1.24229	0
1.24229	-0.222222
1.24229	0
1.24229	-0.222222
1.24229	-0.222222
1.24229	0
